,id,cost,model_number,model_year,color,mileage,guarantee_period,store_id
280,2100006001044,1528000,BC-ZR400C,2007.0,赤,16782.0,3,54
281,2100005798709,520000,2BL-RH13J,2021.0,青,8888.0,5,5
282,2100005796286,440000,8BJ-JB04,2023.0,赤,0.0,3,43
283,2100005204927,378000,JBK-MC40,2010.0,赤,21569.0,3,61
285,2100006123111,128000,2BH-AY01,2021.0,緑,11394.0,3,27
286,2100006161342,698000,2BK-MD47,2021.0,赤,1892.0,7,62
287,2100006027464,3338000,2BL-FLP,2019.0,黒,7037.0,5,61
288,2100005939553,578000,2BL-RH13J,2021.0,黒,43.0,7,21
290,2100006204179,200000,2BJ-DV12B,2019.0,黒,14273.0,3,56
291,2100005673273,99800,JBH-AF70,2011.0,茶,14557.0,3,76
292,2100003934833,398000,JBK-BX250A,2015.0,緑,4240.0,1,27
295,2100005858311,978000,EBL-SC61,2010.0,赤,15440.0,3,61
297,2100005995146,86000,JBH-SA36J,2011.0,赤,19389.0,3,80
300,2100006131062,2498000,2BL-S10AA,2020.0,白,12945.0,3,2
302,2100006064933,498000,2BK-MC52,2019.0,黒,192.0,5,11
303,2100005707190,798000,CKM,2009.0,黒,11150.0,3,61
304,2100006256413,666000,SH15J,2020.0,青,5686.0,5,32
306,2100006144819,658000,2BL-NC59,2021.0,黒,3226.0,7,37
307,2100005657129,698000,2BL-RH16J,2021.0,青,3346.0,7,3
309,2100005070836,478000,HD12,1994.0,白,6797.0,1,6
310,2100006249774,1148000,8BL-SC83,2021.0,黒,5221.0,5,14
312,2100006155860,638000,2BK-MC49,2022.0,黒,907.0,7,69
313,2100006134599,458000,2BK-KF38,2020.0,黒,3070.0,5,30
314,2100005497015,398000,2BJ-JA48,2021.0,青,1311.0,3,66
315,2100005988995,498000,BA-DG10J,2007.0,オレンジ,4834.0,3,6
316,2100005856126,998000,EBL-SC65,2010.0,赤,8552.0,3,37
317,2100005989473,1468000,BC-ZR400C,2008.0,限定,34264.0,3,2
318,2100006216639,148000,2BH-AY01,2021.0,茶,4638.0,1,54
322,2100006112214,158000,EBJ-CF4EA,2009.0,黒,7757.0,3,7
323,2100005919562,1478000,2BL-ZR900C,2019.0,黒,3993.0,5,11
324,2100005072519,389000,JBK-RG10J,2017.0,青,9702.0,3,11
325,2100006023336,98000,JBH-AF67,2007.0,銀,487.0,3,2
326,2100006130379,218000,EBJ-JA10,2013.0,黄,1570.0,3,13
327,2100005840897,228000,EBL-JF19,2010.0,白,6606.0,3,76
328,2100006153453,498000,2BL-NC47,2017.0,黒,8861.0,3,72
330,2100004016149,360000,BA-NJ4BA,2006.0,青,13255.0,3,5
332,2100006238563,358000,JBK-NJ4DA,2010.0,白,14235.0,3,11
334,2100005911214,228000,BA-CD50,1999.0,銀,7035.0,3,34
335,2100006250794,678000,EBL-XGB,2017.0,黒,3245.0,3,72
336,2100005856485,358000,8BJ-JK12,2022.0,白,2766.0,1,21
337,2100004751651,398000,JBK-GJ55D,2015.0,青,19195.0,1,52
338,2100005759656,998000,8BL-RM41J,2022.0,黒,1255.0,7,59
340,2100005400442,1328000,EBL-SD04,2018.0,白,7789.0,5,36
342,2100004875289,273000,2BJ-SED8J,2020.0,黒,6642.0,3,78
